epoch,box,cls,dfl,Recall,Precision,mAP@50,mAP
106,1.250,0.577,1.369,0.900,0.951,0.954,0.618
107,1.237,0.572,1.358,0.898,0.952,0.953,0.617
108,1.239,0.570,1.355,0.898,0.952,0.953,0.617
109,1.243,0.576,1.366,0.897,0.952,0.953,0.616
110,1.242,0.572,1.367,0.897,0.951,0.953,0.615
111,1.242,0.572,1.361,0.897,0.951,0.952,0.614
112,1.242,0.571,1.366,0.897,0.952,0.953,0.614
113,1.245,0.576,1.362,0.896,0.953,0.953,0.614
114,1.237,0.572,1.360,0.895,0.954,0.953,0.613
115,1.238,0.569,1.361,0.893,0.954,0.953,0.612
116,1.238,0.568,1.362,0.893,0.954,0.952,0.611
117,1.240,0.571,1.358,0.893,0.954,0.953,0.611
118,1.235,0.568,1.357,0.893,0.954,0.953,0.611
119,1.229,0.567,1.352,0.892,0.954,0.953,0.611
120,1.236,0.570,1.363,0.892,0.954,0.952,0.610
121,1.224,0.566,1.350,0.891,0.954,0.952,0.610
122,1.236,0.567,1.361,0.889,0.955,0.952,0.609
123,1.232,0.568,1.355,0.890,0.955,0.952,0.608
124,1.229,0.562,1.358,0.888,0.956,0.951,0.608
125,1.232,0.565,1.354,0.887,0.955,0.951,0.607
126,1.232,0.566,1.354,0.884,0.955,0.951,0.607
127,1.230,0.565,1.359,0.883,0.955,0.951,0.606
128,1.230,0.563,1.356,0.881,0.956,0.950,0.606
129,1.226,0.560,1.348,0.881,0.954,0.950,0.605
130,1.231,0.561,1.355,0.880,0.954,0.949,0.605
131,1.223,0.562,1.349,0.879,0.953,0.949,0.605
132,1.229,0.563,1.357,0.878,0.952,0.949,0.605
133,1.222,0.559,1.346,0.877,0.953,0.949,0.605
134,1.235,0.566,1.358,0.878,0.953,0.949,0.605
135,1.220,0.557,1.344,0.879,0.952,0.949,0.605
136,1.226,0.559,1.356,0.879,0.952,0.949,0.605
137,1.223,0.560,1.351,0.881,0.951,0.949,0.603
138,1.221,0.556,1.344,0.881,0.951,0.949,0.604
139,1.222,0.554,1.351,0.879,0.952,0.949,0.603
140,1.228,0.560,1.355,0.880,0.951,0.949,0.602
141,1.224,0.558,1.350,0.879,0.951,0.949,0.602
142,1.221,0.557,1.351,0.880,0.950,0.949,0.601
143,1.217,0.556,1.341,0.880,0.950,0.949,0.601
144,1.217,0.559,1.348,0.879,0.949,0.949,0.601
145,1.216,0.553,1.342,0.880,0.949,0.948,0.601
146,1.213,0.551,1.342,0.879,0.951,0.948,0.601
147,1.217,0.552,1.345,0.878,0.951,0.948,0.601
148,1.223,0.553,1.353,0.876,0.953,0.948,0.601
149,1.213,0.557,1.348,0.878,0.951,0.947,0.601
150,1.209,0.553,1.336,0.877,0.952,0.947,0.601
151,1.218,0.555,1.349,0.877,0.952,0.947,0.601
152,1.210,0.550,1.341,0.876,0.951,0.948,0.600
153,1.210,0.546,1.340,0.877,0.952,0.948,0.600
154,1.212,0.548,1.338,0.877,0.952,0.948,0.600
155,1.206,0.549,1.336,0.877,0.950,0.947,0.600
156,1.211,0.548,1.337,0.878,0.949,0.947,0.600
157,1.206,0.548,1.338,0.879,0.949,0.947,0.600
158,1.210,0.550,1.339,0.879,0.948,0.946,0.600
159,1.210,0.550,1.340,0.878,0.946,0.946,0.600
160,1.210,0.547,1.338,0.878,0.945,0.946,0.600
161,1.205,0.545,1.334,0.879,0.946,0.946,0.600
162,1.200,0.542,1.330,0.882,0.945,0.946,0.600
163,1.206,0.547,1.339,0.882,0.946,0.946,0.600
164,1.198,0.542,1.332,0.881,0.945,0.946,0.600
165,1.205,0.545,1.338,0.884,0.944,0.946,0.601
166,1.201,0.543,1.330,0.884,0.945,0.947,0.600
167,1.201,0.541,1.329,0.884,0.944,0.946,0.601
168,1.200,0.540,1.338,0.884,0.945,0.947,0.601
169,1.200,0.540,1.334,0.885,0.945,0.947,0.601
170,1.196,0.539,1.330,0.886,0.945,0.946,0.601
171,1.200,0.538,1.330,0.888,0.946,0.946,0.600
